"train","test","r2","mae","rmse"
"2017-07-072017_early","2017-06-142017_early",0.00642539278807458,63.271570959596,63.6605064990851
"2017-07-072017_early","2017-06-162017_early",2.85646267400591e-06,65.8451328282828,66.3861406799492
"2017-07-072017_early","2017-06-192017_early",0.000357412843507184,53.4468676767677,54.3721137750651
"2017-07-072017_early","2017-06-212017_early",0.00565963087953598,49.8836279040404,51.1210637592352
"2017-07-072017_early","2017-06-232017_early",0.0683437069578203,43.0655093434343,44.6349440506052
"2017-07-072017_early","2017-06-262017_early",0.000455786418719998,40.6321404040404,42.7083391034497
"2017-07-102017_early","2017-06-092017_early",0.0352486936807182,68.0219974747475,68.1070464378967
"2017-07-102017_early","2017-06-122017_early",1.05856124162654e-05,75.4575452020202,75.6462185642868
"2017-07-102017_early","2017-06-142017_early",0.00775061668904262,71.2850952020202,71.535512304977
"2017-07-102017_early","2017-06-162017_early",0.00194758196389465,76.3212578282828,76.833052020732
"2017-07-102017_early","2017-06-192017_early",0.00132432024484023,69.8636821969697,70.581990377811
"2017-07-102017_early","2017-06-212017_early",0.000837623975715925,59.8294824494949,61.0550420471262
"2017-07-102017_early","2017-06-232017_early",0.00779854478806102,46.155308459596,48.1872605927785
"2017-07-102017_early","2017-06-262017_early",0.00273990180545897,46.8056577020202,49.4556414778736
"2017-06-092017_early","2017-06-122017_early",0.00437780416601221,2.33685808080808,3.74667189880427
"2017-06-092017_early","2017-06-142017_early",0.00731207377049767,2.42391199494949,2.52229863385316
"2017-06-092017_early","2017-06-162017_early",0.0123799731549197,3.81462904040404,6.17409815225635
"2017-06-092017_early","2017-06-192017_early",0.00386971814229876,7.04731262626263,11.0097069748164
"2017-06-092017_early","2017-06-212017_early",0.00688411872525235,17.8444231060606,20.1075995780451
"2017-06-092017_early","2017-06-232017_early",0.102906952147044,24.0006008838384,26.608576126469
"2017-06-092017_early","2017-06-262017_early",0.000579861429936841,27.8480948232323,30.2859504553797
"2017-06-122017_early","2017-06-142017_early",0.00167521727934722,0.909773358585859,1.67984836265389
"2017-06-122017_early","2017-06-162017_early",0.0054434381774237,3.58158068181818,6.6744787294145
"2017-06-122017_early","2017-06-192017_early",0.0403582588332205,7.63882613636364,11.6969098500536
"2017-06-122017_early","2017-06-212017_early",0.00217791719206141,19.1580619949495,21.3498383508432
"2017-06-122017_early","2017-06-232017_early",0.0166061600675046,26.6503840909091,29.1119487300144
"2017-06-122017_early","2017-06-262017_early",0.000511268548319807,30.1130789141414,32.4140010750861
"2017-06-142017_early","2017-06-162017_early",0.00209543921201629,3.59122121212121,6.9859183486399
"2017-06-142017_early","2017-06-192017_early",0.000121740065028412,8.8371202020202,12.490043287733
"2017-06-142017_early","2017-06-212017_early",0.00969264246694652,20.1084487373737,22.179953544833
"2017-06-142017_early","2017-06-232017_early",0.0378003926864974,26.8637733585859,29.3050413939527
"2017-06-142017_early","2017-06-262017_early",0.0224677318352144,30.3246162878788,32.5942008465579
"2017-06-162017_early","2017-06-192017_early",4.46294471666994e-05,6.26783838383838,9.86069870722088
"2017-06-162017_early","2017-06-212017_early",0.0771722780925324,15.6488320707071,17.9062348779762
"2017-06-162017_early","2017-06-232017_early",0.0261329958158379,22.6479808080808,25.272480535786
"2017-06-162017_early","2017-06-262017_early",0.00406907709723522,25.7104023989899,28.2851966319755
"2017-06-192017_early","2017-06-212017_early",0.053867309907222,7.39458863636364,9.47895596673546
"2017-06-192017_early","2017-06-232017_early",0.00678186447299162,10.0256566919192,12.4465267621705
"2017-06-192017_early","2017-06-262017_early",0.000434570712426887,12.1139353535354,15.0498309555053
"2017-06-212017_early","2017-06-232017_early",0.0577226397158024,12.436647979798,15.9026424275102
"2017-06-212017_early","2017-06-262017_early",0.0490277832953426,13.5079930555556,16.09882972707
"2017-06-232017_early","2017-06-262017_early",0.00101023951775528,10.9754234848485,13.509675613813
"2017-06-302017_late","2017-07-032017_late",0.0129400246270957,9.94645868187579,11.8667794905367
"2017-06-302017_late","2017-07-052017_late",0.00775458498772234,8.63673903675539,10.7110788013407
"2017-06-302017_late","2017-07-072017_late",0.0184671628007222,8.985645373891,11.1950172937299
"2017-06-302017_late","2017-07-102017_late",0.0244348703561515,25.4527830164766,31.2845261791361
"2017-06-302017_late","2017-06-212017_late",0.00131966364379355,12.8362761723701,13.8673251628665
"2017-06-302017_late","2017-06-232017_late",0.00970574218868594,5.31105842839037,7.38554935433906
"2017-06-302017_late","2017-06-262017_late",0.000942805492034152,8.85866400506971,10.6400863234364
"2017-07-032017_late","2017-07-052017_late",0.031653942023582,8.06170849176172,10.3193226458339
"2017-07-032017_late","2017-07-072017_late",0.00154481407116427,9.48957655259823,11.8919363984968
"2017-07-032017_late","2017-07-102017_late",0.0129478640898634,23.4075633713561,29.244787617944
"2017-07-032017_late","2017-06-212017_late",0.00852872769612656,24.0805736375158,24.888666992963
"2017-07-032017_late","2017-06-232017_late",0.000865016488006219,11.8537351077313,14.1959688943289
"2017-07-032017_late","2017-06-262017_late",0.00840071244772749,15.6362446134347,17.2481440494204
"2017-07-052017_late","2017-07-072017_late",0.000560900464791624,9.8567598225602,12.2837298302954
"2017-07-052017_late","2017-07-102017_late",0.00274148649093636,23.2077885931559,29.0293732768397
"2017-07-052017_late","2017-06-212017_late",0.00127756630122608,17.5647949302915,18.4474210562859
"2017-07-052017_late","2017-06-232017_late",0.00187209484716252,8.10538910012674,9.90387181785079
"2017-07-052017_late","2017-06-262017_late",0.00539511700601618,12.2509812420786,14.0689159333182
"2017-07-072017_late","2017-07-102017_late",0.0392779492147494,24.7882839036755,30.5618212369775
"2017-07-072017_late","2017-06-212017_late",0.00539134259341113,20.4793339670469,21.5833585952726
"2017-07-072017_late","2017-06-232017_late",0.000380839931882783,10.9288414448669,13.059999520288
"2017-07-072017_late","2017-06-262017_late",0.000666877048939873,14.0239221799747,15.8356180704594
"2017-07-102017_late","2017-06-212017_late",0.0351364240134995,40.774454626109,41.6483448922085
"2017-07-102017_late","2017-06-232017_late",0.00134368917894254,28.6842768060837,29.8043923687045
"2017-07-102017_late","2017-06-262017_late",7.91677099772005e-06,33.7603223067174,34.9413665362795
"2017-06-212017_late","2017-06-232017_late",3.11828240771934e-06,8.24770709759189,9.58496991582635
"2017-06-212017_late","2017-06-262017_late",0.000243686444834153,6.82155183776933,8.3553158728586
"2017-06-232017_late","2017-06-262017_late",0.00688376310633388,6.14649404309252,7.692444900034
"2018-06-132018","2018-06-152018",0.0105225705699179,2.29729097222222,2.95227863509592
"2018-06-132018","2018-06-202018",0.0267838049288489,11.9957542824074,13.5486244503689
"2018-06-132018","2018-06-222018",0.0543572505811867,18.6238946759259,20.5145272101822
"2018-06-132018","2018-06-252018",0.000873515252762098,17.7772619212963,19.3867172077426
"2018-06-152018","2018-06-202018",0.0147351601106964,11.1058578703704,12.8550754747395
"2018-06-152018","2018-06-222018",0.0762904205108611,17.4765730324074,19.5367341806157
"2018-06-152018","2018-06-252018",0.0524513961216458,16.1205972222222,17.7855704312495
"2018-06-202018","2018-06-222018",0.134011379373889,7.62864513888889,9.76602868008245
"2018-06-202018","2018-06-252018",0.0385502464434486,8.04990150462963,9.76322781646718
"2018-06-222018","2018-06-252018",0.0969434503628657,6.9055068287037,8.76290649808444
