"plot_id","line","audpc","trial","Name","CR_1","CR_2","CR_3","CR_4","CR_5","CR_6","CR_7"
9192,"SD120316",145.5,"2018","SD120316",5,1,1,10,10,10,20
9193,"ND030349",239.5,"2018","ND030349",5,1,5,10,20,20,30
9194,"SD050612",321.5,"2018","SD050612",1,1,1,10,20,20,80
9195,"IL09-5745",319.5,"2018","IL09-5745",5,1,5,10,20,20,70
9196,"HORSEPOWER",422.5,"2018","HORSEPOWER",5,5,5,20,30,30,70
9197,"SD110765",382.5,"2018","SD110765",5,5,5,20,20,20,80
9198,"ND090868",362.5,"2018","ND090868",5,5,5,20,20,20,70
9199,"SD61433",299.5,"2018","SD61433",5,1,5,10,20,20,60
9200,"MN09119",234.5,"2018","MN09119",5,1,5,10,10,20,40
9201,"MN11139",91.5,"2018","MN11139",1,1,1,10,5,5,10
9202,"01G04-CC3E",121.5,"2018","01G04-CC3E",1,1,1,10,10,10,10
9203,"MN11211",213.5,"2018","MN11211",5,5,1,10,10,10,50
9204,"SD090510",387.5,"2018","SD090510",5,5,5,20,30,20,70
9205,"P0216A1-1",342.5,"2018","P0216A1-1",5,5,5,20,20,20,60
9206,"SD100454",340.5,"2018","SD100454",5,1,1,20,20,20,70
9207,"MN08138",354.5,"2018","MN08138",5,1,5,20,20,20,70
9208,"Ogle",407.5,"2018","Ogle",5,5,5,20,30,20,80
9209,"MN07204",190.5,"2018","MN07204",5,1,1,10,20,10,30
9210,"SD111736",302.5,"2018","SD111736",5,5,5,20,20,20,40
9211,"ND070182",302.5,"2018","ND070182",5,5,5,20,20,20,40
9212,"06P04A-E07B3",280.5,"2018","06P04A-E07B3",5,1,1,20,20,20,40
9213,"WIX9562-5",94,"2018","WIX9562-5",1,1,1,10,10,5,5
9214,"IL11-5748",172.5,"2018","IL11-5748",5,5,5,10,20,10,10
9215,"ND101473",276.5,"2018","ND101473",1,1,1,20,20,20,40
9216,"WIX9897-5",189.5,"2018","WIX9897-5",1,5,1,10,10,10,40
9217,"MORTON",372.5,"2018","MORTON",5,10,5,20,20,20,70
9218,"WIX10055-8",99,"2018","WIX10055-8",1,1,1,10,5,10,5
9219,"MN05119",288.5,"2018","MN05119",5,5,1,20,20,20,40
9220,"OA1342-2",362.5,"2018","OA1342-2",5,5,5,20,20,20,70
9221,"SD120129",226.5,"2018","SD120129",1,1,1,10,20,10,50
9222,"SD090965",322.5,"2018","SD090965",5,5,5,20,20,20,50
9223,"SD041445",342.5,"2018","SD041445",5,5,5,20,20,20,60
